<<<<<<< HEAD
a MD
flat MD
reading MD
in MD
August NNP 
. . 
 OOV
Robert NNP 
H. NNP 
Chandross NNP 
, , 
an MD
economist NN 
for MD
Lloyd MD
's MD
Bank MD
in MD
New MD
York NNP 
, , 
is MD
among IN 
those DT 
expecting VBG 
a MD
more MD
moderate MD
gain MD
in MD
the MD
CPI NNP 
than MD
in MD
prices NNS 
at MD
the MD
producer NN 
level MD
. . 
 OOV
`` `` 
Auto MD
prices NNS 
had MD
a MD
big JJ 
effect MD
in MD
the MD
PPI NNP 
, , 
and MD
at MD
the MD
CPI NNP 
level MD
they PRP 
wo MD 
n't RB 
, , 
'' '' 
he PRP 
said MD
. . 
 OOV
Food MD
prices NNS 
are MD
expected MD
to TO 
be MD
unchanged JJ 
, , 
but MD
energy NN 
costs MD
jumped MD
as MD
much MD
as MD
4 MD
% MD
, , 
said MD
Gary NNP 
Ciminero NNP 
, , 
economist NN 
at MD
Fleet\/Norstar NNP 
Financial MD
Group NNP 
. . 
 OOV
He PRP 
also RB 
says VBZ 
he PRP 
thinks VBZ 
`` `` 
core MD
inflation NN 
, , 
'' '' 
which WDT 
excludes VBZ 
the MD
volatile JJ 
food NN 
and MD
energy NN 
prices NNS 
, , 
was VBD 
strong MD
last MD
month NN 
. . 
 OOV
He PRP 
expects VBZ 
a MD
gain MD
of MD
as MD
much MD
as MD
0.5 CD 
% MD
in MD
core MD
inflation NN 
after MD
a MD
summer NN 
of MD
far MD
smaller JJR 
increases MD
. . 
 OOV
Housing MD
starts MD
are MD
expected MD
to TO 
quicken OOV
a MD
bit MD
from IN 
August NNP 
's MD
annual JJ 
pace MD
of MD
1,350,000 OOV
units NNS 
. . 
 OOV
Economists MD
say MD
an MD
August NNP 
rebound MD
in MD
permits MD
for MD
multifamily MD
units NNS 
signaled MD
an MD
increase MD
in MD
September NNP 
starts MD
, , 
though MD
activity NN 
remains MD
fairly RB 
modest JJ 
by MD
historical JJ 
standards NNS 
. . 
 OOV
Two-Way OOV
Street MD
 OOV
If IN 
the MD
sixty-day OOV
plant-closing OOV
law NN 
's MD
fair MD
, , 
Why WRB 
should MD 
we MD
not RB 
then MD
amend VB 
the MD
writ OOV
To TO 
require MD
that MD
all MD
employees MD
give MD
Similar JJ 
notice MD
before MD
they PRP 
quit MD
? . 
 OOV
-- : 
Rollin OOV
S. NNP 
Trexler OOV
. . 
 OOV
Candid JJ 
Comment NN 
 OOV
When WRB 
research MD
projects MD
are MD
curtailed MD
due MD
to TO 
government NN 
funding MD
cuts MD
, , 
are MD
we MD
`` `` 
caught MD
with MD
our PRP$ 
grants MD
down MD
'' '' 
? . 
 OOV
-- : 
C.E. OOV
Friedman NNP 
. . 
 OOV
Assuming VBG 
the MD
stock MD
market MD
does VBZ 
n't RB 
crash MD
again RB 
and MD
completely RB 
discredit VB 
yuppies NNS 
and MD
trading MD
rooms NNS 
, , 
American MD
television NN 
audiences NNS 
in MD
a MD
few JJ 
months NNS 
may MD 
be MD
seeing VBG 
Britain NNP 
's MD
concept NN 
of MD
both MD
. . 
 OOV
`` `` 
Capital MD
City MD
'' '' 
is MD
a MD
weekly MD
series MD
that MD
premiered VBD 
here RB 
three CD 
weeks NNS 
ago MD
amid IN 
unprecedented JJ 
hype NN 
by MD
its PRP$ 
producer NN 
, , 
Thames OOV
Television MD
. . 
 OOV
The MD
early MD
episodes NNS 
make MD
you PRP 
long MD
for MD
a MD
rerun OOV
of MD
the MD
crash MD
of MD
1987 CD 
. . 
 OOV
Let MD
's MD
make MD
that MD
1929 CD 
, , 
just MD
to TO 
be MD
sure MD
. . 
 OOV
According VBG 
to TO 
the MD
program MD
's MD
publicity NN 
prospectus NN 
, , 
`` `` 
Capital MD
City MD
, , 
'' '' 
set MD
at MD
Shane NNP 
Longman OOV
, , 
a MD
fictional JJ 
mid-sized OOV
securities NNS 
firm MD
with MD
# # 
500 CD 
million CD 
capital MD
, , 
`` `` 
follows VBZ 
the MD
fortunes NNS 
of MD
a MD
close-knit JJ 
team MD
of MD
young JJ 
, , 
high-flying JJ 
dealers NNS 
, , 
hired MD
for MD
their PRP$ 
particular MD
blend VB 
of MD
style NN 
, , 
genius NN 
and MD
energy NN 
. . 
 OOV
But MD
with MD
all MD
the MD
money NN 
and MD
glamour NN 
of MD
high MD
finance MD
come MD
the MD
relentless JJ 
pressures NNS 
to TO 
do MD
well MD
; : 
pressure MD
to TO 
pull MD
off MD
another DT 
million CD 
before MD
lunch MD
; : 
pressure MD
to TO 
anticipate MD
the MD
market MD
by MD
a MD
fraction NN 
of MD
a MD
second MD
... : 
'' '' 
 OOV
You PRP 
need DT
n't RB 
be DT
a IN
high-powered JJ 
securities NNS 
lawyer NN 
to TO 
realize IN
the IN
prospectus NN 
is IN
guilty IN
of POS
less POS
than POS
full POS
disclosure NN 
. . 
 OOV
The POS
slickly OOV
produced POS
series POS
has POS
been VBN 
criticized POS
by POS
London POS
's DT
financial JJ 
cognoscenti NNS 
as DT
inaccurate JJ 
in DT
detail NN 
, , 
but DT
its PRP$ 
major DT
weakness NN 
is DT
its PRP$ 
unrealistic JJ 
depiction NN 
of DT
the DT
characters NNS 
' DT
professional DT
and DT
private DT
lives DT
. . 
 OOV
Turned OOV
loose DT
in DT
Shane NNP 
Longman OOV
's DT
trading DT
room NN 
, , 
the DT
yuppie NN 
dealers NNS 
do DT
little DT
right DT
. . 
 OOV
Judging VBG 
by DT
the DT
money NN 
lost DT
and DT
mistakes NNS 
made DT
in DT
the DT
early DT
episodes NNS 
, , 
Shane NNP 
Longman OOV
's DT
capital DT
should MD 
be DT
just DT
about DT
exhausted DT
by DT
the DT
final JJ 
13th DT
week NN 
. . 
 OOV
In DT
the DT
opening DT
episode NN 
we DT
learn DT
that DT
Michelle NNP 
, , 
a DT
junior DT
bond NN 
trader NN 
, , 
has DT
indeed RB 
pulled DT
off DT
another DT 
million CD 
before DT
lunch DT
. . 
 OOV
Trouble NN 
is DT
, , 
she PRP 
has DT
lost DT
it PRP 
just DT
as DT
quickly RB 
. . 
 OOV
Rather DT
than DT
keep DT
the DT
loss NN 
a DT
secret DT
from IN 
the DT
outside DT
world NN 
, , 
Michelle NNP 
blabs OOV
about DT
it PRP 
to TO 
a DT
sandwich NN 
man DT
while DT
ordering VBG 
lunch DT
over DT
the DT
phone DT
. . 
 OOV
Little DT
chance DT
that DT
Shane NNP 
Longman OOV
is DT
going DT
to TO 
recoup VB 
today NN 
. . 
 OOV
Traders DT
spend DT
the DT
morning NN 
frantically RB 
selling DT
bonds NNS 
, , 
in DT
the DT
belief NN 
that DT
the DT
U.S. DT
monthly DT
trade DT
figures DT
will DT
look DT
lousy JJ 
. . 
 OOV
Ah UH 
, , 
perfidious OOV
Columbia NNP 
! . 
 OOV
The DT
trade DT
figures DT
turn DT
out DT
well DT
, , 
and DT
all DT
those DT 
recently RB 
unloaded DT
bonds NNS 
spurt NN 
in DT
price DT
. . 
 OOV
So DT
much DT
for DT
anticipating VBG 
the DT
market DT
by DT
a DT
fraction NN 
of DT
a DT
second DT
. . 
 OOV
And CC 
a DT
large DT
slice DT
of DT
the DT
first DT
episode NN 
is DT
devoted DT
to TO 
efforts NNS 
to TO 
get DT
rid DT
of DT
some DT
nearly RB 
worthless JJ 
Japanese DT
bonds NNS 
( ( 
since DT
when WRB 
is DT
anything NN 
Japanese DT
nearly RB 
worthless JJ 
nowadays RB 
? . 
) ) 
. . 
 OOV
Surprisingly OOV
, , 
Shane NNP 
Longman OOV
survives VBZ 
the DT
week NN 
, , 
only DT
to TO 
have DT
a DT
senior JJ 
executive DT
innocently OOV
bumble DT
his DT
way DT
into IN 
becoming VBG 
the DT
target DT
of DT
a DT
criminal DT
insider NN 
trading DT
investigation NN 
. . 
 OOV
Instead RB 
of DT
closing DT
ranks DT
to TO 
protect DT
the DT
firm DT
's DT
reputation NN 
, , 
the DT
executive DT
's DT
internal JJ 
rivals DT
, , 
led DT
by DT
a DT
loutish OOV
American DT
, , 
demand DT
his DT
resignation NN 
. . 
 OOV
The DT
plot DT
is DT
thwarted DT
when WRB 
the DT
firm DT
's DT
major DT
stockholder NN 
, , 
kelp OOV
farming DT
on DT
the DT
other JJ 
side DT
of DT
the DT
globe NN 
, , 
hurries OOV
home DT
to TO 
support DT
the DT
executive DT
. . 
 OOV
But DT
the DT
investigation NN 
continues VBZ 
. . 
 OOV
If IN 
you PRP 
can DT
swallow VB 
the DT
premise NN 
that DT
the DT
rewards DT
for DT
such DT
ineptitude NN 
are DT
six-figure JJ 
salaries NNS 
, , 
you PRP 
still DT
are DT
left DT
puzzled DT
, , 
because DT
few JJ 
of DT
the DT
yuppies NNS 
consume DT
very DT
conspicuously OOV
. . 
 OOV
In DT
fact NN 
, , 
few JJ 
consume DT
much DT
of DT
anything NN 
. . 
 OOV
Two CD 
share DT
a DT
house DT
almost RB 
devoid JJ 
of DT
furniture NN 
. . 
 OOV
Michelle NNP 
lives DT
in DT
a DT
hotel NN 
room NN 
, , 
and DT
although IN 
she PRP 
drives DT
a DT
canary-colored OOV
Porsche OOV
, , 
she PRP 
has DT
n't RB 
time DT
to TO 
clean DT
or CC 
repair DT
it PRP 
; : 
the DT
beat-up OOV
vehicle NN 
can DT
be DT
started DT
only DT
with DT
a DT
huge JJ 
pair DT
of DT
pliers OOV
because DT
the DT
ignition OOV
key DT
has DT
broken DT
off DT
in DT
the DT
lock DT
. . 
 OOV
And CC 
it PRP 
takes VBZ 
Declan OOV
, , 
the DT
obligatory JJ 
ladies NNS 
' DT
man DT
of DT
the DT
cast DT
, , 
until IN 
the DT
third DT
episode NN 
to TO 
get DT
past DT
first DT
base DT
with DT
any DT
of DT
his DT
prey DT
. . 
 OOV
Perhaps RB 
the DT
explanation NN 
for DT
these DT 
anomalies OOV
is DT
that DT
class-conscious OOV
Britain NNP 
is DT
n't RB 
ready JJ 
to TO 
come DT
to TO 
terms NNS 
with DT
the DT
wealth NN 
created DT
by DT
the DT
Thatcherian OOV
free-enterprise OOV
regime NN 
. . 
 OOV
After DT
all DT
, , 
this DT
is DT
n't RB 
old JJ 
money NN 
, , 
but DT
new JJ 
money NN 
, , 
and DT
in DT
many DT
cases NNS 
, , 
young JJ 
money NN 
. . 
 OOV
This DT
attitude NN 
is DT
clearly RB 
illustrated DT
in DT
the DT
treatment NN 
of DT
Max NNP 
, , 
the DT
trading DT
room NN 
's DT
most DT
flamboyant JJ 
character NN 
. . 
 OOV
Yuppily OOV
enough DT
, , 
he PRP 
lives DT
in DT
a DT
lavishly RB 
furnished DT
converted DT
church NN 
, , 
wears VBZ 
designer NN 
clothes NNS 
and DT
drives DT
an DT
antique DT
car NN 
. . 
 OOV
But DT
apparently RB 
to TO 
make DT
him PRP 
palatable OOV
, , 
even DT
lovable JJ 
, , 
to TO 
the DT
masses NNS 
, , 
the DT
script NN 
inflates OOV
pony-tailed OOV
Max NNP 
into IN 
an DT
eccentric JJ 
genius NN 
, , 
master DT
of DT
11 DT
Chinese DT
dialects NNS 
. . 
 OOV
He PRP 
takes VBZ 
his DT
wash DT
to TO 
the DT
laundromat OOV
, , 
where WRB 
he PRP 
meets VBZ 
a DT
punky OOV
French DT
girl NN 
who WP 
dupes OOV
him PRP 
into IN 
providing VBG 
a DT
home DT
for DT
her DT
pet DT
piranha OOV
and DT
then DT
promptly RB 
steals VBZ 
his DT
car NN 
and DT
dumps NNS 
it PRP 
in DT
Dieppe OOV
. . 
 OOV
In DT
producing DT
and DT
promoting VBG 
`` `` 
Capital DT
City DT
, , 
'' '' 
Thames OOV
has DT
spent DT
about DT
as DT
much DT
as DT
Shane NNP 
Longman OOV
loses VBZ 
on DT
a DT
good DT
day NN 
. . 
 OOV
The DT
production NN 
costs DT
are DT
a DT
not RB 
inconsiderable OOV
# # 
8 CD 
million CD 
( ( 
$ $ 
12.4 CD 
million CD 
) ) 
, , 
and DT
would MD 
have DT
been VBN 
much DT
higher DT
had DT
not RB 
the DT
cost DT
of DT
the DT
trading DT
floor NN 
set DT
been VBN 
absorbed DT
in DT
the DT
budget NN 
of DT
`` `` 
Dealers DT
, , 
'' '' 
an DT
earlier DT
made-for-TV JJ 
movie NN 
. . 
 OOV
Another DT 
half DT
million CD 
quid OOV
went VBD 
for DT
a DT
volley OOV
of DT
full-page JJ 
advertisements NNS 
in DT
six CD 
major DT
British DT
newspapers NNS 
and DT
for DT
huge JJ 
posters NNS 
in DT
the DT
London DT
subway NN 
. . 
 OOV
These DT 
expenses NNS 
create DT
a DT
special DT
incentive DT
for DT
`` `` 
Capital DT
City DT
's DT
'' '' 
producers NNS 
to TO 
flog OOV
it PRP 
, , 
or CC 
a DT
Yank-oriented OOV
version NN 
of DT
it PRP 
, , 
in DT
America NNP 
. . 
 OOV
Thames OOV
's DT
U.S. DT
marketing DT
agent NN 
, , 
Donald NNP 
Taffner OOV
, , 
is DT
preparing VBG 
to TO 
do DT
just DT
that DT
. . 
 OOV
He PRP 
is DT
discreetly OOV
hopeful DT
, , 
citing VBG 
three CD 
U.S. DT
comedy NN 
series DT
-- : 
`` `` 
Three DT
's DT
Company DT
, , 
'' '' 
`` `` 
Too DT
Close DT
for DT
Comfort DT
'' '' 
and DT
`` `` 
Check VB 
It PRP 
Out DT
'' '' 
-- : 
that DT
had DT
British DT
antecedents OOV
. . 
 OOV
Perhaps RB 
without IN 
realizing VBG 
it PRP 
, , 
Mr. NNP 
Taffner OOV
simultaneously RB 
has DT
put DT
his DT
finger DT
on DT
the DT
problem NN 
and DT
an DT
ideal DT
solution NN 
: : 
`` `` 
Capital DT
City DT
'' '' 
should MD 
have DT
been VBN 
a DT
comedy NN 
, , 
a DT
worthy JJ 
sequel NN 
to TO 
the DT
screwball NN 
British DT
`` `` 
Carry OOV
On DT
'' '' 
movies NNS 
of DT
the DT
1960s DT
. . 
 OOV
The DT
seeds NNS 
already RB 
are DT
in DT
the DT
script NN 
. . 
 OOV
The DT
first DT
episode NN 
concluded DT
with DT
a DT
marvelously OOV
cute JJ 
scene NN 
in DT
which WDT 
the DT
trading-room OOV
crew NN 
minded OOV
a DT
baby NN 
, , 
the DT
casualty NN 
of DT
a DT
broken DT
marriage NN 
at DT
the DT
firm DT
. . 
 OOV
And CC 
many DT
in DT
the DT
young JJ 
cast DT
bear DT
striking DT
resemblances OOV
to TO 
American DT
TV DT
and DT
movie NN 
personalities NNS 
known DT
for DT
light DT
roles NNS 
. . 
 OOV
Joanna OOV
Kanska OOV
looks DT
like DT
a DT
young JJ 
Zsa NNP 
Zsa NNP 
Gabor NNP 
; : 
William NNP 
Armstrong NNP 
, , 
who WP 
plays DT
Max NNP 
, , 
could MD 
pass DT
for DT
Hans NNP 
Conreid OOV
, , 
and DT
Douglas NNP 
Hodge OOV
( ( 
Declan OOV
) ) 
for DT
James NNP 
Farentino OOV
; : 
Rolf OOV
Saxon OOV
is DT
a DT
passable JJ 
Tommy NNP 
Noonan OOV
and DT
Dorian OOV
Healy OOV
could MD 
easily RB 
double DT
for DT
Huntz OOV
Hall NNP 
, , 
the DT
blank-faced OOV
foil DT
of DT
the DT
Bowery OOV
Boys DT
comedies NNS 
. . 
 OOV
So DT
, , 
OK DT
kids NNS 
, , 
everybody NN 
on DT
stage DT
for DT
`` `` 
Carry OOV
On DT
Trading DT
'' '' 
: : 
The DT
cast DT
is DT
frantically RB 
searching VBG 
the DT
office NN 
for DT
misplaced VBN 
Japanese DT
bonds NNS 
that DT
suddenly RB 
have DT
soared DT
in DT
value DT
because DT
Dai-Ichi NNP 
Kangyo NNP 
Bank DT
has DT
just DT
bought DT
the DT
White DT
House DT
. . 
 OOV
The DT
pressure DT
is DT
too RB 
much DT
for DT
Zsa NNP 
Zsa NNP 
, , 
who WP 
slaps DT
a DT
security NN 
guard DT
. . 
 OOV
He PRP 
backflips OOV
into IN 
a DT
desktop DT
computer NN 
terminal DT
, , 
which WDT 
explodes OOV
, , 
covering DT
Huntz OOV
Hall NNP 
's DT
face DT
with DT
microchips OOV
. . 
 OOV
And CC 
all DT
the DT
while DT
, , 
the DT
bonds NNS 
are DT
in DT
the DT
baby NN 
's DT
diaper NN 
. . 
 OOV
It PRP 
should MD 
run DT
forever RB 
. . 
 OOV
Mr. NNP 
Rustin OOV
is DT
senior JJ 
correspondent NN 
in DT
the DT
Journal DT
's DT
London DT
bureau NN 
. . 
 OOV
Axa-Midi NNP 
Assurances DT
of DT
France NNP 
gave VBD 
details NNS 
of DT
its PRP$ 
financing DT
plans DT
for DT
its PRP$ 
proposed DT
$ $ 
4.5 CD 
billion CD 
acquisition NN 
of DT
Farmers DT
Group NNP 
Inc. DT
, , 
in DT
amended DT
filings NNS 
with DT
insurance NN 
regulators DT
in DT
the DT
nine CD 
U.S. DT
states DT
where WRB 
Farmers DT
operates VBZ 
. . 
 OOV
The DT
proposed DT
acquisition NN 
is DT
part DT
of DT
Sir NNP 
James NNP 
Goldsmith NNP 
's DT
unfriendly JJ 
takeover NN 
attempt DT
for DT
B.A.T DT
Industries DT
PLC NNP 
, , 
the DT
British DT
tobacco NN 
, , 
retailing DT
, , 
paper NN 
and DT
financial JJ 
services DT
concern DT
that DT
is DT
parent DT
of DT
Los NNP 
Angeles-based JJ 
Farmers DT
. . 
 OOV
In DT
an DT
attempt DT
to TO 
appease VB 
U.S. DT
regulators DT
' DT
concern DT
over DT
a DT
Goldsmith NNP 
acquisition NN 
of DT
Farmers DT
, , 
Sir NNP 
James NNP 
in DT
August NNP 
agreed DT
to TO 
sell DT
Farmers DT
to TO 
Axa NNP 
if IN 
he PRP 
is DT
successful JJ 
in DT
acquiring VBG 
B.A.T DT
. . 
 OOV
As DT
part DT
of DT
the DT
agreement NN 
, , 
Axa NNP 
agreed DT
to TO 
invest DT
$ $ 
1 DT
billion CD 
in DT
Hoylake NNP 
Investments DT
Ltd. NNP 
, , 
Sir NNP 
James NNP 
's DT
acquisition NN 
vehicle NN 
. . 
 OOV
Of IN 
the DT
total DT
$ $ 
5.5 CD 
billion CD 
to TO 
be DT
paid DT
to TO 
Hoylake NNP 
by DT
Axa NNP 
, , 
about DT
$ $ 
1 DT
billion CD 
will DT
come DT
from IN 
available JJ 
resources NNS 
of DT
Axa NNP 
's DT
parent DT
, , 
Axa-Midi NNP 
Group NNP 
, , 
$ $ 
2.25 CD 
billion CD 
will DT
be DT
in DT
the DT
form DT
of DT
notes DT
issued DT
by DT
Axa NNP 
, , 
and DT
the DT
remaining DT
$ $ 
2.25 CD 
billion CD 
will DT
be DT
in DT
long-term DT
bank DT
loans DT
. . 
 OOV
In DT
an DT
interview DT
Thursday NNP 
, , 
Claude NNP 
Bebear NNP 
, , 
chairman NN 
and DT
chief DT
executive DT
officer NN 
of DT
Axa NNP 
, , 
said DT
his DT
group DT
has DT
already RB 
obtained DT
assurances NNS 
from IN 
a DT
group DT
of DT
banks NNS 
led DT
by DT
Cie NNP 
. . 
Financiere NNP 
de DT
Paribas NNP 
that DT
they PRP 
can DT
provide DT
the DT
loan DT
portion NN 
of DT
the DT
financing DT
. . 
 OOV
The DT
other JJ 
banking DT
companies NNS 
in DT
the DT
group DT
are DT
Credit DT
Lyonnais NNP 
, , 
Societe NNP 
Generale NNP 
, , 
BankAmerica NNP 
Corp. DT
and DT
Citicorp DT
, , 
he PRP 
said DT
. . 
 OOV
Mr. NNP 
Bebear NNP 
said DT
Axa-Midi NNP 
Group NNP 
has DT
`` `` 
more DT
than DT
$ $ 
2.5 CD 
billion CD 
of DT
non-strategic JJ 
assets NNS 
that DT
we DT
can DT
and DT
will DT
sell DT
'' '' 
to TO 
help DT
pay DT
off DT
debt NN 
from IN 
the DT
acquisition NN 
. . 
 OOV
He PRP 
said DT
the DT
assets NNS 
to TO 
be DT
sold DT
would MD 
be DT
`` `` 
non-insurance OOV
'' '' 
assets NNS 
, , 
including VBG 
a DT
beer NN 
company NN 
and DT
a DT
real DT
estate NN 
firm DT
, , 
and DT
would MD 
n't RB 
include DT
any DT
pieces NNS 
of DT
Farmers DT
. . 
 OOV
`` `` 
We PRP 
wo MD 
n't RB 
put DT
any DT
burden NN 
on DT
Farmers DT
, , 
'' '' 
he PRP 
said DT
. . 
 OOV
The DT
amended DT
filings NNS 
also RB 
point DT
out DT
that DT
under DT
a DT
new JJ 
agreement NN 
, , 
Hoylake NNP 
has DT
an DT
absolute JJ 
obligation NN 
to TO 
sell DT
Farmers DT
to TO 
Axa NNP 
upon DT
an DT
acquisition NN 
of DT
B.A.T DT
. . 
 OOV
`` `` 
We PRP 
hope DT
that DT
with DT
what DT
we DT
did VBD 
, , 
the DT
regulators DT
will DT
not RB 
need DT
to TO 
evaluate VB 
Hoylake NNP 
, , 
and DT
they PRP 
can DT
directly RB 
look DT
at DT
the DT
agreement NN 
with DT
us PRP 
, , 
because DT
Hoylake NNP 
wo MD 
n't RB 
be DT
an DT
owner NN 
of DT
Farmers DT
at DT
anytime RB 
, , 
'' '' 
Mr. NNP 
Bebear NNP 
said DT
. . 
 OOV
Any DT 
change DT
of DT
control DT
in DT
Farmers DT
needs DT
approval NN 
of DT
the DT
insurance NN 
commissioners NNS 
in DT
the DT
nine CD 
states DT
where WRB 
Farmers DT
and DT
its PRP$ 
related DT
companies NNS 
are DT
incorporated DT
. . 
 OOV
The DT
amended DT
filings NNS 
were VBD 
required DT
because DT
of DT
the DT
new JJ 
agreement NN 
between IN 
Axa NNP 
and DT
Hoylake NNP 
, , 
and DT
to TO 
reflect DT
the DT
extension NN 
that DT
Sir NNP 
James NNP 
received DT
last DT
month NN 
under DT
British DT
takeover NN 
rules DT
to TO 
complete DT
his DT
proposed DT
acquisition NN 
. . 
 OOV
Hoylake NNP 
dropped DT
its PRP$ 
initial DT
# # 
13.35 CD 
billion CD 
( ( 
$ $ 
20.71 OOV
billion CD 
) ) 
takeover NN 
bid DT
after DT
it PRP 
received DT
the DT
extension NN 
, , 
but DT
said DT
it PRP 
would MD 
launch DT
a DT
new JJ 
bid DT
if IN 
and DT
when WRB 
the DT
propsed OOV
sale NN 
of DT
Farmers DT
to TO 
Axa NNP 
receives VBZ 
regulatory JJ 
approval NN 
. . 
 OOV
A DT
spokesman NN 
for DT
B.A.T DT
said DT
of DT
the DT
amended DT
filings NNS 
that DT
, , 
`` `` 
It PRP 
would MD 
appear DT
that DT
nothing NN 
substantive JJ 
has DT
changed DT
. . 
 OOV
The DT
new JJ 
financing DT
structure DT
is DT
still DT
a DT
very-highly OOV
leveraged DT
one DT
, , 
and DT
Axa NNP 
still DT
plans DT
to TO 
take DT
out DT
75 CD 
% DT
of DT
Farmers DT
' DT
earnings DT
as DT
dividends NNS 
to TO 
service DT
their PRP$ 
debt NN 
. . 
'' '' 
 OOV
That DT
dividend NN 
is DT
almost RB 
double DT
the DT
35 CD 
% DT
currently RB 
taken VBN 
out DT
of DT
Farmers DT
by DT
B.A.T DT
, , 
the DT
spokesman NN 
added DT
. . 
 OOV
`` `` 
It PRP 
would MD 
have DT
severe JJ 
implications NNS 
for DT
Farmers DT
' DT
policy NN 
holders NNS 
. . 
'' '' 
 OOV
To TO 
fend VB 
off DT
Sir NNP 
James NNP 
's DT
advances NNS 
, , 
B.A.T DT
has DT
proposed DT
a DT
sweeping DT
restructuring DT
that DT
would MD 
pare OOV
it PRP 
to TO 
a DT
tobacco NN 
and DT
financial JJ 
